Order_ID,Order_Date,Order_Month,Month_Name,Order_Day,Day_of_Week,Customer_ID,Customer_Name,City,Region,Membership_Type,Product_ID,Product_Name,Category,Brand,Unit_Price,Quantity,Total_Sales,Payment_Method,Order_Status,Price_Category,Quantity_Type
O0037,2026-03-30,3,March,30,Monday,C028,Inaya Khan,Mumbai,West,Regular,P005,Power Bank,Electronics,VoltPlus,1199,1,1199,Credit Card,Delivered,Low,Normal Order
O0038,2026-01-25,1,January,25,Sunday,C024,Maryam Khan,Hyderabad,South,Regular,P008,Sneakers,Clothing,StepUp,2999,1,2999,Credit Card,Delivered,High,Normal Order
O0039,2026-02-09,2,February,9,Monday,C016,Hiba Sheikh,Srinagar,North,Premium,P020,Dumbbell Set,Sports,StrongFit,1999,5,9995,Credit Card,Delivered,Low,Bulk Order
O0040,2026-02-03,2,February,3,Tuesday,C008,Sara Ahmed,Hyderabad,South,Premium,P010,Electric Kettle,Home & Kitchen,KitchenPro,1499,4,5996,Cash on Delivery,Delivered,Low,Bulk Order
O0041,2026-01-04,1,January,4,Sunday,C008,Sara Ahmed,Hyderabad,South,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,699,5,3495,Cash on Delivery,Delivered,Low,Bulk Order
O0042,2026-01-29,1,January,29,Thursday,C012,Aisha Mir,Delhi,North,Premium,P008,Sneakers,Clothing,StepUp,2999,5,14995,Net Banking,Delivered,High,Bulk Order
O0043,2026-01-10,1,January,10,Saturday,C003,Rohan Mehta,Mumbai,West,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,699,4,2796,Net Banking,Delivered,Low,Bulk Order
O0044,2026-02-27,2,February,27,Friday,C016,Hiba Sheikh,Srinagar,North,Premium,P019,Cricket Bat,Sports,BatPro,2499,4,9996,Credit Card,Delivered,High,Bulk Order
O0045,2026-01-14,1,January,14,Wednesday,C006,Ishita Gupta,Bengaluru,South,Premium,P017,Yoga Mat,Sports,FitLife,899,1,899,Debit Card,Cancelled,Low,Normal Order
O0046,2026-01-09,1,January,9,Friday,C019,Yusuf Dar,Srinagar,North,New,P012,Water Bottle,Home & Kitchen,HydroLife,699,2,1398,Cash on Delivery,Delivered,Low,Normal Order
O0047,2026-02-15,2,February,15,Sunday,C005,Kabir Ali,Lucknow,North,New,P004,Smart Watch,Electronics,FitTech,3299,5,16495,Credit Card,Cancelled,High,Bulk Order
O0048,2026-02-02,2,February,2,Monday,C020,Priya Menon,Chennai,South,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,699,2,1398,Debit Card,Cancelled,Low,Normal Order
O0049,2026-02-27,2,February,27,Friday,C010,Mehak Bhat,Srinagar,North,Premium,P006,Hoodie,Clothing,UrbanWear,1599,3,4797,Cash on Delivery,Delivered,Low,Bulk Order
O0050,2026-02-18,2,February,18,Wednesday,C020,Priya Menon,Chennai,South,Premium,P001,Wireless Headphones,Electronics,SoundMax,1499,1,1499,Credit Card,Shipped,Low,Normal Order
O0051,2026-01-01,1,January,1,Thursday,C008,Sara Ahmed,Hyderabad,South,Premium,P017,Yoga Mat,Sports,FitLife,899,4,3596,Net Banking,Delivered,Low,Bulk Order
O0052,2026-03-10,3,March,10,Tuesday,C024,Maryam Khan,Hyderabad,South,Regular,P008,Sneakers,Clothing,StepUp,2999,5,14995,Debit Card,Delivered,High,Bulk Order
O0053,2026-03-19,3,March,19,Thursday,C021,Aman Kumar,Delhi,North,Regular,P004,Smart Watch,Electronics,FitTech,3299,3,9897,Credit Card,Cancelled,High,Bulk Order
O0054,2026-01-30,1,January,30,Friday,C019,Yusuf Dar,Srinagar,North,New,P007,Jacket,Clothing,NorthStyle,2499,3,7497,Credit Card,Cancelled,High,Bulk Order
O0055,2026-02-23,2,February,23,Monday,C008,Sara Ahmed,Hyderabad,South,Premium,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,4,13996,Net Banking,Cancelled,High,Bulk Order
O0056,2026-01-08,1,January,8,Thursday,C015,Karan Joshi,Chandigarh,North,Regular,P018,Football,Sports,SportZone,799,3,2397,Debit Card,Delivered,Low,Bulk Order
O0057,2026-03-02,3,March,2,Monday,C027,Harsh Vardhan,Noida,North,Premium,P008,Sneakers,Clothing,StepUp,2999,2,5998,Cash on Delivery,Delivered,High,Normal Order
O0058,2026-02-05,2,February,5,Thursday,C029,Sameer Qureshi,Jammu,North,New,P005,Power Bank,Electronics,VoltPlus,1199,5,5995,UPI,Cancelled,Low,Bulk Order
O0059,2026-03-09,3,March,9,Monday,C017,Dev Patel,Ahmedabad,West,Premium,P020,Dumbbell Set,Sports,StrongFit,1999,2,3998,Net Banking,Delivered,Low,Normal Order
O0060,2026-03-15,3,March,15,Sunday,C007,Aditya Verma,Pune,West,Regular,P006,Hoodie,Clothing,UrbanWear,1599,1,1599,Debit Card,Cancelled,Low,Normal Order
O0061,2026-03-02,3,March,2,Monday,C020,Priya Menon,Chennai,South,Premium,P002,Mechanical Keyboard,Electronics,KeyPro,2499,2,4998,Credit Card,Delivered,High,Normal Order
O0062,2026-03-25,3,March,25,Wednesday,C009,Arjun Nair,Kochi,South,Regular,P014,Data Science Handbook,Books,DataPress,899,2,1798,UPI,Delivered,Low,Normal Order
O0063,2026-02-25,2,February,25,Wednesday,C030,Riya Kapoor,Bengaluru,South,Premium,P020,Dumbbell Set,Sports,StrongFit,1999,3,5997,Credit Card,Shipped,Low,Bulk Order
O0064,2026-01-30,1,January,30,Friday,C007,Aditya Verma,Pune,West,Regular,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,4,13996,Credit Card,Cancelled,High,Bulk Order
O0065,2026-03-14,3,March,14,Saturday,C024,Maryam Khan,Hyderabad,South,Regular,P020,Dumbbell Set,Sports,StrongFit,1999,2,3998,Cash on Delivery,Delivered,Low,Normal Order
O0066,2026-02-05,2,February,5,Thursday,C004,Ananya Singh,Jammu,North,Regular,P001,Wireless Headphones,Electronics,SoundMax,1499,2,2998,Debit Card,Cancelled,Low,Normal Order
O0067,2026-02-22,2,February,22,Sunday,C005,Kabir Ali,Lucknow,North,New,P017,Yoga Mat,Sports,FitLife,899,1,899,Debit Card,Delivered,Low,Normal Order
O0068,2026-02-22,2,February,22,Sunday,C018,Manya Rao,Bengaluru,South,Regular,P010,Electric Kettle,Home & Kitchen,KitchenPro,1499,2,2998,Debit Card,Delivered,Low,Normal Order
O0069,2026-01-27,1,January,27,Tuesday,C028,Inaya Khan,Mumbai,West,Regular,P004,Smart Watch,Electronics,FitTech,3299,4,13196,Debit Card,Delivered,High,Bulk Order
O0070,2026-03-18,3,March,18,Wednesday,C011,Vivaan Kapoor,Jaipur,North,New,P004,Smart Watch,Electronics,FitTech,3299,2,6598,Net Banking,Delivered,High,Normal Order
O0071,2026-01-21,1,January,21,Wednesday,C020,Priya Menon,Chennai,South,Premium,P016,Atomic Habits,Books,MindReads,599,1,599,UPI,Delivered,Low,Normal Order
O0072,2026-03-21,3,March,21,Saturday,C029,Sameer Qureshi,Jammu,North,New,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,4,13996,Net Banking,Cancelled,High,Bulk Order
O0073,2026-03-02,3,March,2,Monday,C029,Sameer Qureshi,Jammu,North,New,P004,Smart Watch,Electronics,FitTech,3299,3,9897,Debit Card,Cancelled,High,Bulk Order
O0074,2026-03-19,3,March,19,Thursday,C014,Sana Malik,Mumbai,West,New,P013,Python Programming,Books,TechBooks,749,4,2996,Credit Card,Delivered,Low,Bulk Order
O0075,2026-02-08,2,February,8,Sunday,C027,Harsh Vardhan,Noida,North,Premium,P004,Smart Watch,Electronics,FitTech,3299,4,13196,UPI,Delivered,High,Bulk Order
O0076,2026-01-03,1,January,3,Saturday,C019,Yusuf Dar,Srinagar,North,New,P015,Machine Learning Basics,Books,AIPress,999,1,999,Debit Card,Delivered,Low,Normal Order
O0077,2026-03-27,3,March,27,Friday,C006,Ishita Gupta,Bengaluru,South,Premium,P020,Dumbbell Set,Sports,StrongFit,1999,3,5997,Net Banking,Delivered,Low,Bulk Order
O0078,2026-02-17,2,February,17,Tuesday,C029,Sameer Qureshi,Jammu,North,New,P004,Smart Watch,Electronics,FitTech,3299,5,16495,Cash on Delivery,Delivered,High,Bulk Order
O0079,2026-01-16,1,January,16,Friday,C021,Aman Kumar,Delhi,North,Regular,P012,Water Bottle,Home & Kitchen,HydroLife,699,5,3495,Debit Card,Delivered,Low,Bulk Order
O0080,2026-03-29,3,March,29,Sunday,C026,Fatima Noor,Srinagar,North,Regular,P019,Cricket Bat,Sports,BatPro,2499,5,12495,Debit Card,Delivered,High,Bulk Order
O0081,2026-01-19,1,January,19,Monday,C022,Alina Shah,Pune,West,New,P018,Football,Sports,SportZone,799,2,1598,Credit Card,Delivered,Low,Normal Order
O0082,2026-01-30,1,January,30,Friday,C014,Sana Malik,Mumbai,West,New,P013,Python Programming,Books,TechBooks,749,4,2996,Cash on Delivery,Delivered,Low,Bulk Order
O0083,2026-02-24,2,February,24,Tuesday,C009,Arjun Nair,Kochi,South,Regular,P013,Python Programming,Books,TechBooks,749,1,749,Debit Card,Shipped,Low,Normal Order
O0084,2026-01-27,1,January,27,Tuesday,C013,Rahul Das,Kolkata,East,Regular,P004,Smart Watch,Electronics,FitTech,3299,3,9897,Credit Card,Delivered,High,Bulk Order
O0085,2026-03-01,3,March,1,Sunday,C028,Inaya Khan,Mumbai,West,Regular,P011,Air Fryer,Home & Kitchen,CookSmart,4999,2,9998,Cash on Delivery,Delivered,High,Normal Order
O0086,2026-01-28,1,January,28,Wednesday,C024,Maryam Khan,Hyderabad,South,Regular,P006,Hoodie,Clothing,UrbanWear,1599,5,7995,Debit Card,Delivered,Low,Bulk Order
O0087,2026-03-28,3,March,28,Saturday,C006,Ishita Gupta,Bengaluru,South,Premium,P004,Smart Watch,Electronics,FitTech,3299,5,16495,Cash on Delivery,Cancelled,High,Bulk Order
O0088,2026-01-30,1,January,30,Friday,C022,Alina Shah,Pune,West,New,P008,Sneakers,Clothing,StepUp,2999,2,5998,Debit Card,Cancelled,High,Normal Order
O0089,2026-03-14,3,March,14,Saturday,C015,Karan Joshi,Chandigarh,North,Regular,P008,Sneakers,Clothing,StepUp,2999,4,11996,Credit Card,Shipped,High,Bulk Order
O0090,2026-02-07,2,February,7,Saturday,C022,Alina Shah,Pune,West,New,P019,Cricket Bat,Sports,BatPro,2499,2,4998,Cash on Delivery,Shipped,High,Normal Order
O0091,2026-01-01,1,January,1,Thursday,C002,Zoya Khan,Delhi,North,Regular,P011,Air Fryer,Home & Kitchen,CookSmart,4999,2,9998,Credit Card,Delivered,High,Normal Order
O0092,2026-02-21,2,February,21,Saturday,C027,Harsh Vardhan,Noida,North,Premium,P006,Hoodie,Clothing,UrbanWear,1599,2,3198,Debit Card,Delivered,Low,Normal Order
O0093,2026-02-08,2,February,8,Sunday,C012,Aisha Mir,Delhi,North,Premium,P016,Atomic Habits,Books,MindReads,599,3,1797,Debit Card,Delivered,Low,Bulk Order
O0094,2026-01-17,1,January,17,Saturday,C011,Vivaan Kapoor,Jaipur,North,New,P002,Mechanical Keyboard,Electronics,KeyPro,2499,4,9996,Net Banking,Cancelled,High,Bulk Order
O0095,2026-02-25,2,February,25,Wednesday,C015,Karan Joshi,Chandigarh,North,Regular,P011,Air Fryer,Home & Kitchen,CookSmart,4999,2,9998,Cash on Delivery,Delivered,High,Normal Order
O0096,2026-02-07,2,February,7,Saturday,C002,Zoya Khan,Delhi,North,Regular,P013,Python Programming,Books,TechBooks,749,1,749,Net Banking,Shipped,Low,Normal Order
O0097,2026-02-24,2,February,24,Tuesday,C004,Ananya Singh,Jammu,North,Regular,P006,Hoodie,Clothing,UrbanWear,1599,2,3198,Cash on Delivery,Delivered,Low,Normal Order
O0098,2026-02-03,2,February,3,Tuesday,C009,Arjun Nair,Kochi,South,Regular,P006,Hoodie,Clothing,UrbanWear,1599,1,1599,Credit Card,Delivered,Low,Normal Order
O0099,2026-01-17,1,January,17,Saturday,C010,Mehak Bhat,Srinagar,North,Premium,P001,Wireless Headphones,Electronics,SoundMax,1499,2,2998,UPI,Shipped,Low,Normal Order
O0100,2026-03-19,3,March,19,Thursday,C003,Rohan Mehta,Mumbai,West,Premium,P008,Sneakers,Clothing,StepUp,2999,4,11996,Credit Card,Delivered,High,Bulk Order
O0101,2026-02-24,2,February,24,Tuesday,C009,Arjun Nair,Kochi,South,Regular,P012,Water Bottle,Home & Kitchen,HydroLife,699,1,699,UPI,Delivered,Low,Normal Order
O0102,2026-01-20,1,January,20,Tuesday,C021,Aman Kumar,Delhi,North,Regular,P012,Water Bottle,Home & Kitchen,HydroLife,699,3,2097,Credit Card,Shipped,Low,Bulk Order
O0103,2026-03-03,3,March,3,Tuesday,C022,Alina Shah,Pune,West,New,P005,Power Bank,Electronics,VoltPlus,1199,1,1199,Debit Card,Delivered,Low,Normal Order
O0104,2026-01-05,1,January,5,Monday,C011,Vivaan Kapoor,Jaipur,North,New,P006,Hoodie,Clothing,UrbanWear,1599,3,4797,Debit Card,Shipped,Low,Bulk Order
O0105,2026-01-22,1,January,22,Thursday,C020,Priya Menon,Chennai,South,Premium,P016,Atomic Habits,Books,MindReads,599,4,2396,UPI,Delivered,Low,Bulk Order
O0106,2026-01-02,1,January,2,Friday,C001,Aarav Sharma,Srinagar,North,Premium,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,1,3499,Net Banking,Delivered,High,Normal Order
O0107,2026-01-26,1,January,26,Monday,C021,Aman Kumar,Delhi,North,Regular,P003,Wireless Mouse,Electronics,TechGear,899,2,1798,Cash on Delivery,Delivered,Low,Normal Order
O0108,2026-01-04,1,January,4,Sunday,C006,Ishita Gupta,Bengaluru,South,Premium,P020,Dumbbell Set,Sports,StrongFit,1999,1,1999,Net Banking,Delivered,Low,Normal Order
O0109,2026-03-17,3,March,17,Tuesday,C023,Nikhil Sood,Chandigarh,North,Premium,P019,Cricket Bat,Sports,BatPro,2499,5,12495,Debit Card,Cancelled,High,Bulk Order
O0110,2026-01-05,1,January,5,Monday,C007,Aditya Verma,Pune,West,Regular,P005,Power Bank,Electronics,VoltPlus,1199,1,1199,UPI,Delivered,Low,Normal Order
O0111,2026-03-14,3,March,14,Saturday,C001,Aarav Sharma,Srinagar,North,Premium,P001,Wireless Headphones,Electronics,SoundMax,1499,4,5996,Debit Card,Delivered,Low,Bulk Order
O0112,2026-01-15,1,January,15,Thursday,C012,Aisha Mir,Delhi,North,Premium,P006,Hoodie,Clothing,UrbanWear,1599,4,6396,UPI,Delivered,Low,Bulk Order
O0113,2026-03-22,3,March,22,Sunday,C008,Sara Ahmed,Hyderabad,South,Premium,P014,Data Science Handbook,Books,DataPress,899,1,899,UPI,Delivered,Low,Normal Order
O0114,2026-02-12,2,February,12,Thursday,C019,Yusuf Dar,Srinagar,North,New,P011,Air Fryer,Home & Kitchen,CookSmart,4999,5,24995,Credit Card,Delivered,High,Bulk Order
O0115,2026-01-23,1,January,23,Friday,C014,Sana Malik,Mumbai,West,New,P007,Jacket,Clothing,NorthStyle,2499,2,4998,Credit Card,Delivered,High,Normal Order
O0116,2026-02-19,2,February,19,Thursday,C025,Reyansh Jain,Kolkata,East,New,P010,Electric Kettle,Home & Kitchen,KitchenPro,1499,1,1499,Net Banking,Delivered,Low,Normal Order
O0117,2026-02-21,2,February,21,Saturday,C019,Yusuf Dar,Srinagar,North,New,P015,Machine Learning Basics,Books,AIPress,999,3,2997,Cash on Delivery,Shipped,Low,Bulk Order
O0118,2026-03-09,3,March,9,Monday,C025,Reyansh Jain,Kolkata,East,New,P016,Atomic Habits,Books,MindReads,599,4,2396,Credit Card,Delivered,Low,Bulk Order
O0119,2026-02-03,2,February,3,Tuesday,C015,Karan Joshi,Chandigarh,North,Regular,P019,Cricket Bat,Sports,BatPro,2499,2,4998,Debit Card,Delivered,High,Normal Order
O0120,2026-01-21,1,January,21,Wednesday,C013,Rahul Das,Kolkata,East,Regular,P020,Dumbbell Set,Sports,StrongFit,1999,1,1999,Cash on Delivery,Cancelled,Low,Normal Order
